"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         213,      -1.726868004,     -0.4552222341,      -0.538195341,       2.078271133,      -8.541076302
          0,           0,         214,      -1.966781142,      -1.231009603,     -0.9694800595,        2.00719586,      -8.519813536
          0,           0,         215,      -1.903236738,     -0.7232193269,     -0.7539583468,       2.116697627,      -8.484798117
          0,           0,         216,      -1.913381013,      -1.148776938,      -1.050348659,       2.106707533,      -8.490552551
          0,           0,         217,      -1.839439646,     -0.6784467874,     -0.6648928119,       1.989048614,      -8.478087271
          0,           0,         218,      -1.844247095,     -0.9716584608,     -0.9286794841,       1.875423361,      -8.463834648
          0,           0,         219,      -1.906670936,       -1.00699345,     -0.8980392612,       1.759671642,      -8.441587101
          0,           0,         220,      -1.888357876,     -0.8833142619,     -0.7447651006,       1.725998951,      -8.431810945
          0,           0,         221,       -1.98099663,     -0.9134813143,     -0.8257893201,       1.661928157,      -8.421005204
          0,           0,         222,      -1.884305221,     -0.9243797249,     -0.5755755276,       1.513335311,      -8.405128905
          0,           0,         223,      -2.010654182,     -0.9684311934,     -0.8558252672,       1.626995096,      -8.383394392
          0,           0,         224,      -1.862454161,     -0.9173872566,     -0.6341057672,       1.712319433,      -8.370996087
          0,           0,         225,      -1.922086429,       -1.03665087,     -0.8184546511,       1.731410558,      -8.395797088
          0,           0,         226,      -1.914600871,     -0.7955587499,     -0.7447024049,       1.767969295,      -8.396788169
          0,           0,         227,      -1.927152685,     -0.9146380332,     -0.8947550348,       1.854448246,      -8.388482152
          0,           0,         228,      -1.976390345,     -0.8863365966,     -0.8714785888,       1.782906902,      -8.380037749
          0,           0,         229,      -1.975189932,     -0.8985726285,     -0.9832580617,       1.791946152,      -8.358404005
          0,           0,         230,      -1.897361402,     -0.8702989876,     -0.9390901913,       1.812558819,      -8.350707781
          0,           0,         231,       -1.89719401,     -0.8969592394,     -0.9159393995,       1.807774888,      -8.328165941
          0,           0,         232,      -1.791628564,     -0.8066880126,     -0.8557437325,       1.834228166,      -8.262779763
          0,           0,         233,      -1.830454389,     -0.8266375212,     -0.8189290286,       1.838576993,      -8.250022141
          0,           0,         234,      -1.544367055,     -0.6017758189,     -0.6993772897,       1.854065645,      -8.239629912
          0,           0,         235,      -1.648416683,     -0.6910008523,     -0.7347404007,       1.836929068,      -8.212227818
          0,           0,         236,       -1.64095657,      -0.681802229,     -0.6910372401,       1.824186045,      -8.216179879
          0,           0,         237,      -1.607240767,     -0.6432786933,     -0.6434726148,       1.831874028,      -8.230193489
          0,           0,         238,      -1.569696945,     -0.6627247639,     -0.5792282744,       1.820353054,      -8.247201401
          0,           0,         239,      -1.589595687,     -0.6792390916,     -0.5942083147,       1.784668506,      -8.259834218
